date,BLK_price,KO_price,GE_price,ATVI_price,JPM_price
2009.11.30,227.08,28.6,15.4,11.39,42.49
2009.12.31,232.2,28.5,14.55,11.11,41.67
2010.01.29,213.82,27.12,15.46,10.16,38.94
2010.02.26,218.8,26.36,15.44,10.63,41.97
2010.03.31,217.76,27.5,17.5,12.05,44.75
2010.04.30,184,26.73,18.13,11.08,42.58
2010.06.30,143.4,25.06,13.87,10.49,36.61
2010.07.30,157.49,27.56,15.5,11.88,40.28
2010.08.31,141.95,27.94,13.92,10.68,36.36
2010.09.30,170.25,29.26,15.62,10.82,38.06
2010.10.29,170.99,30.66,15.4,11.46,37.63
2010.11.30,163,31.58,15.22,11.74,37.4
2010.12.31,190.58,32.88,17.59,12.44,42.42
2011.01.31,198.02,31.42,19.37,11.29,44.94
2011.02.28,203.99,31.96,20.12,11.12,46.69
2011.03.31,201.01,33.17,19.28,10.97,46.1
2011.04.29,195.94,33.73,19.66,11.38,45.63
2011.05.31,205.56,33.4,18.88,11.99,43.24
2011.06.30,191.81,33.65,18.13,11.68,40.94
2011.07.29,178.46,34.01,17.22,11.84,40.45
2011.08.31,164.75,35.22,15.68,11.85,37.56
2011.09.30,148.01,33.78,14.63,11.9,30.12
2011.10.31,157.79,34.16,16.07,13.39,34.76
2011.11.30,172.04,33.62,15.3,12.42,30.97
2011.12.30,178.24,34.99,17.22,12.32,33.25
2012.01.31,182,33.76,17.99,12.34,37.3
2012.02.29,199,34.93,18.32,11.95,39.24
2012.03.30,204.9,37.01,19.3,12.82,45.98
2012.04.30,191.58,38.16,18.83,12.88,42.98
2012.05.31,170.8,37.37,18.36,11.74,33.15
2012.06.29,169.82,39.1,20.04,11.99,35.73
2012.07.31,170.26,40.4,19.95,12.03,36
2012.08.31,176.37,37.4,19.91,11.76,37.14
2012.09.28,178.3,37.93,21.84,11.28,40.48
2012.10.31,189.68,37.18,20.25,10.89,41.68
2012.11.30,197.04,37.92,20.32,11.46,41.08
2012.12.31,206.71,36.25,20.18,10.62,43.97
2013.01.31,236.28,37.24,21.42,11.4,47.05
